date,days_since_last_reset,last_reset_id,last_reset_company
2023-02-16,0,bing-sydney,Microsoft
2023-02-17,1,bing-sydney,Microsoft
2023-02-18,2,bing-sydney,Microsoft
2023-02-19,3,bing-sydney,Microsoft
2023-02-20,4,bing-sydney,Microsoft
2023-02-21,5,bing-sydney,Microsoft
2023-02-22,6,bing-sydney,Microsoft
2023-02-23,7,bing-sydney,Microsoft
2023-02-24,8,bing-sydney,Microsoft
2023-02-25,9,bing-sydney,Microsoft
2023-02-26,10,bing-sydney,Microsoft
2023-02-27,11,bing-sydney,Microsoft
2023-02-28,12,bing-sydney,Microsoft
2023-03-01,13,bing-sydney,Microsoft
2023-03-02,14,bing-sydney,Microsoft
2023-03-03,15,bing-sydney,Microsoft
2023-03-04,16,bing-sydney,Microsoft
2023-03-05,17,bing-sydney,Microsoft
2023-03-06,18,bing-sydney,Microsoft
2023-03-07,19,bing-sydney,Microsoft
2023-03-08,20,bing-sydney,Microsoft
2023-03-09,21,bing-sydney,Microsoft
2023-03-10,22,bing-sydney,Microsoft
2023-03-11,23,bing-sydney,Microsoft
2023-03-12,24,bing-sydney,Microsoft
2023-03-13,25,bing-sydney,Microsoft
2023-03-14,26,bing-sydney,Microsoft
2023-03-15,27,bing-sydney,Microsoft
2023-03-16,28,bing-sydney,Microsoft
2023-03-17,29,bing-sydney,Microsoft
2023-03-18,30,bing-sydney,Microsoft
2023-03-19,31,bing-sydney,Microsoft
2023-03-20,0,chatgpt-redis-leak,OpenAI
2023-03-21,1,chatgpt-redis-leak,OpenAI
2023-03-22,2,chatgpt-redis-leak,OpenAI
2023-03-23,3,chatgpt-redis-leak,OpenAI
2023-03-24,4,chatgpt-redis-leak,OpenAI
2023-03-25,5,chatgpt-redis-leak,OpenAI
2023-03-26,6,chatgpt-redis-leak,OpenAI
2023-03-27,7,chatgpt-redis-leak,OpenAI
2023-03-28,8,chatgpt-redis-leak,OpenAI
2023-03-29,9,chatgpt-redis-leak,OpenAI
2023-03-30,10,chatgpt-redis-leak,OpenAI
2023-03-31,11,chatgpt-redis-leak,OpenAI
2023-04-01,12,chatgpt-redis-leak,OpenAI
2023-04-02,13,chatgpt-redis-leak,OpenAI
2023-04-03,14,chatgpt-redis-leak,OpenAI
2023-04-04,15,chatgpt-redis-leak,OpenAI
2023-04-05,16,chatgpt-redis-leak,OpenAI
2023-04-06,17,chatgpt-redis-leak,OpenAI
2023-04-07,18,chatgpt-redis-leak,OpenAI
2023-04-08,19,chatgpt-redis-leak,OpenAI
2023-04-09,20,chatgpt-redis-leak,OpenAI
2023-04-10,21,chatgpt-redis-leak,OpenAI
2023-04-11,22,chatgpt-redis-leak,OpenAI
2023-04-12,23,chatgpt-redis-leak,OpenAI
2023-04-13,24,chatgpt-redis-leak,OpenAI
2023-04-14,25,chatgpt-redis-leak,OpenAI
2023-04-15,26,chatgpt-redis-leak,OpenAI
2023-04-16,27,chatgpt-redis-leak,OpenAI
2023-04-17,28,chatgpt-redis-leak,OpenAI
2023-04-18,29,chatgpt-redis-leak,OpenAI
2023-04-19,30,chatgpt-redis-leak,OpenAI
2023-04-20,31,chatgpt-redis-leak,OpenAI
2023-04-21,32,chatgpt-redis-leak,OpenAI
2023-04-22,33,chatgpt-redis-leak,OpenAI
2023-04-23,34,chatgpt-redis-leak,OpenAI
2023-04-24,35,chatgpt-redis-leak,OpenAI
2023-04-25,36,chatgpt-redis-leak,OpenAI
2023-04-26,37,chatgpt-redis-leak,OpenAI
2023-04-27,38,chatgpt-redis-leak,OpenAI
2023-04-28,39,chatgpt-redis-leak,OpenAI
2023-04-29,40,chatgpt-redis-leak,OpenAI
2023-04-30,41,chatgpt-redis-leak,OpenAI
2023-05-01,42,chatgpt-redis-leak,OpenAI
2023-05-02,43,chatgpt-redis-leak,OpenAI
2023-05-03,44,chatgpt-redis-leak,OpenAI
2023-05-04,45,chatgpt-redis-leak,OpenAI
2023-05-05,46,chatgpt-redis-leak,OpenAI
2023-05-06,47,chatgpt-redis-leak,OpenAI
2023-05-07,48,chatgpt-redis-leak,OpenAI
2023-05-08,49,chatgpt-redis-leak,OpenAI
2023-05-09,50,chatgpt-redis-leak,OpenAI
2023-05-10,51,chatgpt-redis-leak,OpenAI
2023-05-11,52,chatgpt-redis-leak,OpenAI
2023-05-12,53,chatgpt-redis-leak,OpenAI
2023-05-13,54,chatgpt-redis-leak,OpenAI
2023-05-14,55,chatgpt-redis-leak,OpenAI
2023-05-15,56,chatgpt-redis-leak,OpenAI
2023-05-16,57,chatgpt-redis-leak,OpenAI
2023-05-17,58,chatgpt-redis-leak,OpenAI
2023-05-18,59,chatgpt-redis-leak,OpenAI
2023-05-19,60,chatgpt-redis-leak,OpenAI
2023-05-20,61,chatgpt-redis-leak,OpenAI
2023-05-21,62,chatgpt-redis-leak,OpenAI
2023-05-22,63,chatgpt-redis-leak,OpenAI
2023-05-23,64,chatgpt-redis-leak,OpenAI
2023-05-24,65,chatgpt-redis-leak,OpenAI
2023-05-25,66,chatgpt-redis-leak,OpenAI
2023-05-26,67,chatgpt-redis-leak,OpenAI
2023-05-27,68,chatgpt-redis-leak,OpenAI
2023-05-28,69,chatgpt-redis-leak,OpenAI
2023-05-29,70,chatgpt-redis-leak,OpenAI
2023-05-30,71,chatgpt-redis-leak,OpenAI
2023-05-31,72,chatgpt-redis-leak,OpenAI
2023-06-01,73,chatgpt-redis-leak,OpenAI
2023-06-02,74,chatgpt-redis-leak,OpenAI
2023-06-03,75,chatgpt-redis-leak,OpenAI
2023-06-04,76,chatgpt-redis-leak,OpenAI
2023-06-05,77,chatgpt-redis-leak,OpenAI
2023-06-06,78,chatgpt-redis-leak,OpenAI
2023-06-07,79,chatgpt-redis-leak,OpenAI
2023-06-08,80,chatgpt-redis-leak,OpenAI
2023-06-09,81,chatgpt-redis-leak,OpenAI
2023-06-10,82,chatgpt-redis-leak,OpenAI
2023-06-11,83,chatgpt-redis-leak,OpenAI
2023-06-12,84,chatgpt-redis-leak,OpenAI
2023-06-13,85,chatgpt-redis-leak,OpenAI
2023-06-14,86,chatgpt-redis-leak,OpenAI
2023-06-15,87,chatgpt-redis-leak,OpenAI
2023-06-16,88,chatgpt-redis-leak,OpenAI
2023-06-17,89,chatgpt-redis-leak,OpenAI
2023-06-18,90,chatgpt-redis-leak,OpenAI
2023-06-19,91,chatgpt-redis-leak,OpenAI
2023-06-20,92,chatgpt-redis-leak,OpenAI
2023-06-21,93,chatgpt-redis-leak,OpenAI
2023-06-22,94,chatgpt-redis-leak,OpenAI
2023-06-23,95,chatgpt-redis-leak,OpenAI
2023-06-24,96,chatgpt-redis-leak,OpenAI
2023-06-25,97,chatgpt-redis-leak,OpenAI
2023-06-26,98,chatgpt-redis-leak,OpenAI
2023-06-27,99,chatgpt-redis-leak,OpenAI
2023-06-28,100,chatgpt-redis-leak,OpenAI
2023-06-29,101,chatgpt-redis-leak,OpenAI
2023-06-30,102,chatgpt-redis-leak,OpenAI
2023-07-01,103,chatgpt-redis-leak,OpenAI
2023-07-02,104,chatgpt-redis-leak,OpenAI
2023-07-03,105,chatgpt-redis-leak,OpenAI
2023-07-04,106,chatgpt-redis-leak,OpenAI
2023-07-05,107,chatgpt-redis-leak,OpenAI
2023-07-06,108,chatgpt-redis-leak,OpenAI
2023-07-07,109,chatgpt-redis-leak,OpenAI
2023-07-08,110,chatgpt-redis-leak,OpenAI
2023-07-09,111,chatgpt-redis-leak,OpenAI
2023-07-10,112,chatgpt-redis-leak,OpenAI
2023-07-11,113,chatgpt-redis-leak,OpenAI
2023-07-12,114,chatgpt-redis-leak,OpenAI
2023-07-13,115,chatgpt-redis-leak,OpenAI
2023-07-14,116,chatgpt-redis-leak,OpenAI
2023-07-15,117,chatgpt-redis-leak,OpenAI
2023-07-16,118,chatgpt-redis-leak,OpenAI
2023-07-17,119,chatgpt-redis-leak,OpenAI
2023-07-18,120,chatgpt-redis-leak,OpenAI
2023-07-19,121,chatgpt-redis-leak,OpenAI
2023-07-20,122,chatgpt-redis-leak,OpenAI
